h3,population,Intensity,population_class,colors
8839822647fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839822645fffff,4.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398155b9fffff,31.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398155b1fffff,146.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839815595fffff,4588.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
8839815593fffff,15.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398224bdfffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398222bdfffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398385edfffff,5.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839815555fffff,26.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839838599fffff,16.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839838535fffff,34.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398220a9fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398154edfffff,45.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398154c3fffff,4.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839838323fffff,848.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398381e1fffff,23.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
88398154bbfffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398381d9fffff,3.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398381c5fffff,2.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
8839815497fffff,26.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839815491fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398381a9fffff,5.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
88398381a1fffff,15.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
883981545dfffff,7.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839838193fffff,70.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
